tiff_ha,Broadleaf,Low-Density Broadleaf,Conifer,Diverse Conifer,Upland Birch,Native Scots Pine
10,20.23359092,29.56692426,25.56692426,23.73359092,26.56692426,25.06692426
25,23.35859092,32.69192426,28.69192426,26.85859092,29.69192426,28.19192426
50,28.56692426,37.90025759,33.90025759,32.06692426,34.90025759,33.40025759
75,33.77525759,43.10859092,39.10859092,37.27525759,40.10859092,38.60859092
100,38.98359092,48.31692426,44.31692426,42.48359092,45.31692426,43.81692426
125,44.19192426,53.52525759,49.52525759,47.69192426,50.52525759,49.02525759
150,49.40025759,58.73359092,54.73359092,52.90025759,55.73359092,54.23359092
175,54.60859092,63.94192426,59.94192426,58.10859092,60.94192426,59.44192426
200,59.81692426,69.15025759,65.15025759,63.31692426,66.15025759,64.65025759
250,70.23359092,79.56692426,75.56692426,73.73359092,76.56692426,75.06692426
300,80.65025759,89.98359092,85.98359092,84.15025759,86.98359092,85.48359092
350,91.06692426,100.4002576,96.40025759,94.56692426,97.40025759,95.90025759
400,101.4835909,110.8169243,106.8169243,104.9835909,107.8169243,106.3169243
450,111.9002576,121.2335909,117.2335909,115.4002576,118.2335909,116.7335909
500,122.3169243,131.6502576,127.6502576,125.8169243,128.6502576,127.1502576
550,132.7335909,142.0669243,138.0669243,136.2335909,139.0669243,137.5669243
600,143.1502576,152.4835909,148.4835909,146.6502576,149.4835909,147.9835909
650,153.5669243,162.9002576,158.9002576,157.0669243,159.9002576,158.4002576
700,163.9835909,173.3169243,169.3169243,167.4835909,170.3169243,168.8169243
750,174.4002576,183.7335909,179.7335909,177.9002576,180.7335909,179.2335909
800,184.8169243,194.1502576,190.1502576,188.3169243,191.1502576,189.6502576
850,195.2335909,204.5669243,200.5669243,198.7335909,201.5669243,200.0669243
900,205.6502576,214.9835909,210.9835909,209.1502576,211.9835909,210.4835909
950,216.0669243,225.4002576,221.4002576,219.5669243,222.4002576,220.9002576
1000,226.4835909,235.8169243,231.8169243,229.9835909,232.8169243,231.3169243
1050,236.9002576,246.2335909,242.2335909,240.4002576,243.2335909,241.7335909
1100,247.3169243,256.6502576,252.6502576,250.8169243,253.6502576,252.1502576
1150,257.7335909,267.0669243,263.0669243,261.2335909,264.0669243,262.5669243
1200,268.1502576,277.4835909,273.4835909,271.6502576,274.4835909,272.9835909