Sum of VALUE,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,"Aromatic, medicinal and culinary plants",Barley,Beehives,Berry species,Bovine 2 years and older - males,Bovine 2 years old and over - other cows,Bovine under 2 years - females,Bovine under 2 years - males,Bovine under one year old - total,Citrus plantations,Common wheat and spelt,Cotton,Dairy cows,Ducks,Durum wheat,Equidae,Fallow land,Flax,Flowers - outdoor,Flowers - under glass,Fodder roots and brassicas,Forage plants - other green fodder - green maize,Forage plants - other green fodder - leguminous plants,Forage plants - other green fodder - other than green maize,Forage plants - other green fodder - total,Forage plants - temporary grass,Forage plants - total,"Fresh vegetables, melons, strawberries","Fresh vegetables, melons, strawberries - outdoor","Fresh vegetables, melons, strawberries - outdoor - market gardening","Fresh vegetables, melons, strawberries - outdoor - open field","Fresh vegetables, melons, strawberries - under glass",Fruit and berry plantations - nuts,Fruit and berry plantations - total,Fruit species,Fruit species of subtropical climate zones,Fruit species of temperate climate zones,Geese,Goats,Goats - breeding females,Goats - others,Grain maize,"Heifers, 2 years and older",Hemp,Hops,Industrial plants not mentioned elsewhere,Laying hens,Linseed (oil flax),Mushrooms,Nurseries,Oats,Olive plantations - oil production,Olive plantations - table olives,Olive plantations - total,Ostriches,Other arable land crops,Other cereals,Other oil seed crops,Other permanent crops,Other poultry,Other textile crops,"Peas, field beans and sweet lupines",Permanent crops under glass,Permanent grassland and meadow - pasture and meadow,Permanent grassland and meadow - rough grazings,Permanent grassland and meadow - total,Pigs - breeding sows over 50 kg,Pigs - others,Pigs - piglets under 20 kg,Potatoes,Poultry - broilers,Poultry - others,Pulses - total,"Pulses other than peas, field beans and sweet lupines",Rabbits (breeding females),Rape and turnip,Rice,Rye,Seeds and seedlings,Sheep - breeding females,Sheep - others,Sheep - total,Soya,Sugar beet,Sunflower,Tobacco,Turkeys,Vineyards - other wines,Vineyards - quality wine,Vineyards - raisins,Vineyards - table grapes,Vineyards - total,Grand Total
East_Midlands,1523.995458,1201.897486,0,32196.93296,607.6536219,473.6360321,626.9159602,565.2024083,639.2465048,0,1564.724286,0,3081.146551,5311.672012,0,370.7944449,0,0,41479.39473,364657.7553,280.6691635,618.0288229,280.6691635,280.6691635,0,254.4754916,0,0,0,13996.60231,4281.223206,159801.1475,0,0,9928.789046,0,9928.789046,6835.567863,353.939662,448.1705871,59.10047745,1522.127816,585.0531844,1307.349045,10932.92428,915.1443313,2303.909661,755.2417226,50931.57515,148734.0913,1075.113528,0,0,0,0,779.6197144,965.6621062,755.2417226,21879.42008,1925.8123,0,1140.473682,0,237.2776262,1.245094328,0,766.8517003,249.1297328,107.1059055,8151.231953,1325.49442,5653.175643,1140.473682,1140.473682,0,1435.676398,0,1143.701466,2237.119086,125.4105073,29.68266263,0,0,2668.008173,1179.353348,0,12028.56207,8336.95552,0,0,0,8336.95552,964451.4531
East_of_England,1523.995458,1125.692341,0,32196.93296,607.6536219,439.3911116,626.9159602,565.2024083,639.2465048,0,1552.313311,0,3162.919326,5311.672012,0,370.7944449,0,0,41479.39473,364657.7553,280.6691635,618.0288229,280.6691635,280.6691635,0,254.4754916,0,0,0,13996.60231,4281.223206,159801.1475,0,0,9928.789046,0,9928.789046,6835.567863,353.939662,448.1705871,59.10047745,1522.127816,585.0531844,1307.349045,10932.92428,915.1443313,2303.909661,755.2417226,50931.57515,148734.0913,1075.113528,0,0,0,0,779.6197144,965.6621062,755.2417226,21879.42008,1925.8123,0,1140.473682,0,237.2776262,1.245094328,0,766.8517003,249.1297328,107.1059055,8151.231953,1325.49442,5653.175643,1140.473682,1140.473682,0,1435.676398,0,1143.701466,2237.119086,125.4105073,29.68266263,0,0,2668.008173,1179.353348,0,12028.56207,8336.95552,0,0,0,8336.95552,964410.3648
London,1523.995458,1174.488275,0,32196.93296,607.6536219,493.7369016,626.9159602,565.2024083,639.2465048,0,1601.028722,0,3244.704737,5311.672012,0,370.7944449,0,0,41479.39473,364657.7553,280.6691635,618.0288229,280.6691635,280.6691635,0,254.4754916,0,0,0,13996.60231,4281.223206,159801.1475,0,0,9928.789046,0,9928.789046,6835.567863,353.939662,448.1705871,59.10047745,1522.127816,585.0531844,1307.349045,10932.92428,915.1443313,2303.909661,755.2417226,50931.57515,148734.0913,1075.113528,0,0,0,0,779.6197144,965.6621062,755.2417226,21879.42008,1925.8123,0,1140.473682,0,237.2776262,1.245094328,0,766.8517003,249.1297328,107.1059055,8151.231953,1325.49442,5653.175643,1140.473682,1140.473682,0,1435.676398,0,1143.701466,2237.119086,125.4105073,29.68266263,0,0,2668.008173,1179.353348,0,12028.56207,8336.95552,0,0,0,8336.95552,964644.0074
North_East,1523.995458,1270.849817,0,32196.93296,626.6446433,530.908133,550.7819762,567.3408949,503.202961,0,1618.673526,0,2982.352778,5311.672012,0,370.7944449,0,0,41479.39473,364657.7553,280.6691635,526.0339531,280.6691635,280.6691635,0,254.4754916,0,0,0,13996.60231,2646.249651,159801.1475,0,0,9928.789046,0,9928.789046,6835.567863,353.939662,448.1705871,59.10047745,1522.127816,592.0483388,1307.349045,10932.92428,915.1443313,2219.355942,755.2417226,50931.57515,148734.0913,1063.3757,0,0,0,0,779.6197144,965.6621062,755.2417226,21879.42008,1925.8123,0,1149.955282,0,237.2776262,1.245094328,0,763.1590042,249.1270865,107.1059055,5987.8598,1325.49442,4753.030182,1149.955282,1149.955282,0,1457.738153,0,1143.701466,2237.119086,82.3765334,29.68266263,0,0,2668.008173,1179.353348,0,12028.56207,8336.95552,0,0,0,8336.95552,959465.7798
North_West,1523.995458,1170.773031,0,32196.93296,626.6446433,506.4516413,550.7819762,567.3408949,503.202961,0,1493.89077,0,3030.161973,5311.672012,0,370.7944449,0,0,41479.39473,364657.7553,280.6691635,526.0339531,280.6691635,280.6691635,0,254.4754916,0,0,0,13996.60231,2646.249651,159801.1475,0,0,9928.789046,0,9928.789046,6835.567863,353.939662,448.1705871,59.10047745,1522.127816,592.0483388,1307.349045,10932.92428,915.1443313,2219.355942,755.2417226,50931.57515,148734.0913,1063.3757,0,0,0,0,779.6197144,965.6621062,755.2417226,21879.42008,1925.8123,0,1149.955282,0,237.2776262,1.245094328,0,763.1590042,249.1270865,107.1059055,5987.8598,1325.49442,4753.030182,1149.955282,1149.955282,0,1457.738153,0,1143.701466,2237.119086,97.47223918,29.68266263,0,0,2668.008173,1179.353348,0,12028.56207,8336.95552,0,0,0,8336.95552,959279.3686
Northern_Ireland,1523.995458,1331.614062,0,32196.93296,568.9503692,510.8863052,477.4137427,584.4920681,544.988717,0,1800.655418,0,2588.921287,5311.672012,0,370.7944449,0,0,41479.39473,364657.7553,280.6691635,566.7669383,280.6691635,280.6691635,280.6691635,266.1140108,0,0,0,13996.60231,4160.1777,159801.1475,0,0,9928.789046,0,9928.789046,6835.567863,353.939662,448.1705871,59.10047745,1522.127816,426.4906405,1307.349045,10932.92428,915.1443313,2222.088153,755.2417226,50931.57515,148734.0913,1081.324208,0,0,0,0,779.6197144,965.6621062,755.2417226,21879.42008,1925.8123,0,1044.846463,0,260.1848716,1.245094328,0,934.0986648,240.5748796,107.1059055,6275.524434,1032.435952,4216.602291,1044.846463,1044.846463,0,1412.454828,0,1143.701466,2237.119086,109.2806624,23.98051676,0,0,2668.008173,1179.353348,0,12028.56207,8336.95552,0,0,0,8336.95552,960229.1039
Scotland,1523.995458,1200.908977,0,32196.93296,669.3711389,575.7570158,498.0387007,756.1685854,659.3081647,0,1756.881988,0,2114.84252,5311.672012,0,370.7944449,0,0,41479.39473,364657.7553,280.6691635,513.2278821,280.6691635,280.6691635,0,412.636802,0,0,0,13996.60231,2646.249651,159801.1475,0,0,9928.789046,0,9928.789046,6835.567863,353.939662,429.1455958,59.10047745,1522.127816,473.4736134,1307.349045,10932.92428,915.1443313,2219.355942,755.2417226,50931.57515,148734.0913,1187.4654,0,0,0,0,779.6197144,1057.386962,755.2417226,21879.42008,1925.8123,0,1149.955282,0,372.6213942,1.245094328,0,763.1590042,249.1270865,107.1059055,8562.396179,1325.49442,4753.030182,1149.955282,1149.955282,0,1348.941766,0,1143.701466,2237.119086,68.86899161,29.68266263,0,0,2668.008173,1179.353348,0,12028.56207,8336.95552,0,0,0,8336.95552,961857.4484
South_East,1523.995458,1174.488275,0,32196.93296,607.6536219,493.7369016,626.9159602,565.2024083,639.2465048,0,1601.028722,0,3244.704737,5311.672012,0,370.7944449,0,0,41479.39473,364657.7553,280.6691635,618.0288229,280.6691635,280.6691635,0,254.4754916,0,0,0,13996.60231,4281.223206,159801.1475,0,0,9928.789046,0,9928.789046,6835.567863,353.939662,448.1705871,59.10047745,1522.127816,585.0531844,1307.349045,10932.92428,915.1443313,2303.909661,755.2417226,50931.57515,148734.0913,1075.113528,0,0,0,0,779.6197144,965.6621062,755.2417226,21879.42008,1925.8123,0,1140.473682,0,237.2776262,1.245094328,0,766.8517003,249.1297328,107.1059055,8151.231953,1325.49442,5653.175643,1140.473682,1140.473682,0,1435.676398,0,1143.701466,2237.119086,125.4105073,29.68266263,0,0,2668.008173,1179.353348,0,12028.56207,8336.95552,0,0,0,8336.95552,964644.0074
South_West,1523.995458,1254.419227,0,32196.93296,605.5632896,521.0589504,647.6954041,547.6321371,611.3374026,0,1603.377941,0,2979.003754,5311.672012,0,370.7944449,0,0,41479.39473,364657.7553,280.6691635,501.6706494,280.6691635,280.6691635,0,254.4754916,0,0,0,13996.60231,4160.1777,159801.1475,0,0,9928.789046,0,9928.789046,6835.567863,353.939662,448.1705871,59.10047745,1522.127816,643.6192233,1307.349045,10932.92428,915.1443313,2222.088153,755.2417226,50931.57515,148734.0913,1081.324208,0,0,0,0,779.6197144,965.6621062,755.2417226,21879.42008,1925.8123,0,1044.846463,0,237.2776262,1.245094328,0,765.0087693,249.1469488,107.1059055,6413.983125,1325.49442,4216.602291,1044.846463,1044.846463,0,1412.454828,0,1143.701466,2237.119086,116.6175387,29.68266263,0,0,2668.008173,1179.353348,0,12028.56207,8336.95552,0,0,0,8336.95552,960712.1258
Wales,1523.995458,1254.419227,0,32196.93296,583.6905097,449.9228641,502.7226087,526.0582867,499.5702274,0,1603.377941,0,2893.931365,5311.672012,0,370.7944449,0,0,41479.39473,364657.7553,280.6691635,501.6706494,280.6691635,280.6691635,0,254.4754916,0,0,0,13996.60231,4160.1777,159801.1475,0,0,9928.789046,0,9928.789046,6835.567863,353.939662,448.1705871,59.10047745,1522.127816,495.6480395,1307.349045,10932.92428,915.1443313,2222.088153,755.2417226,50931.57515,148734.0913,1081.324208,0,0,0,0,779.6197144,965.6621062,755.2417226,21879.42008,1925.8123,0,1044.846463,0,237.2776262,1.245094328,0,765.0087693,249.1469488,107.1059055,6413.983125,1325.49442,4216.602291,1044.846463,1044.846463,0,1412.454828,0,1143.701466,2237.119086,61.18467002,29.68266263,0,0,2668.008173,1179.353348,0,12028.56207,8336.95552,0,0,0,8336.95552,960052.3266
West_Midlands,1523.995458,1262.170651,0,32196.93296,605.5632896,492.5960868,647.6954041,547.6321371,611.3374026,0,1543.719221,0,2933.154702,5311.672012,0,370.7944449,0,0,41479.39473,364657.7553,280.6691635,501.6706494,280.6691635,280.6691635,0,254.4754916,0,0,0,13996.60231,4160.1777,159801.1475,0,0,9928.789046,0,9928.789046,6835.567863,353.939662,448.1705871,59.10047745,1522.127816,643.6192233,1307.349045,10932.92428,915.1443313,2222.088153,755.2417226,50931.57515,148734.0913,1081.324208,0,0,0,0,779.6197144,965.6621062,755.2417226,21879.42008,1925.8123,0,1044.846463,0,237.2776262,1.245094328,0,765.0087693,249.1469488,107.1059055,6413.983125,1325.49442,4216.602291,1044.846463,1044.846463,0,1412.454828,0,1143.701466,2237.119086,132.0543971,29.68266263,0,0,2668.008173,1179.353348,0,12028.56207,8336.95552,0,0,0,8336.95552,960601.3434
Yorkshire_and_The_Humber,1523.995458,1270.849817,0,32196.93296,626.6446433,530.908133,550.7819762,567.3408949,503.202961,0,1618.673526,0,2982.352778,5311.672012,0,370.7944449,0,0,41479.39473,364657.7553,280.6691635,526.0339531,280.6691635,280.6691635,0,254.4754916,0,0,0,13996.60231,2646.249651,159801.1475,0,0,9928.789046,0,9928.789046,6835.567863,353.939662,448.1705871,59.10047745,1522.127816,592.0483388,1307.349045,10932.92428,915.1443313,2219.355942,755.2417226,50931.57515,148734.0913,1063.3757,0,0,0,0,779.6197144,965.6621062,755.2417226,21879.42008,1925.8123,0,1149.955282,0,237.2776262,1.245094328,0,763.1590042,249.1270865,107.1059055,5987.8598,1325.49442,4753.030182,1149.955282,1149.955282,0,1457.738153,0,1143.701466,2237.119086,82.3765334,29.68266263,0,0,2668.008173,1179.353348,0,12028.56207,8336.95552,0,0,0,8336.95552,959465.7798
Grand Total,18287.9455,14692.57119,0,386363.1955,7343.687015,6018.990077,6933.57563,6924.815532,6993.136817,0,19358.34537,0,35238.19651,63740.06414,0,4449.533339,0,0,497752.7368,4375893.064,3368.029962,6635.22392,3368.029962,3368.029962,280.6691635,3223.505729,0,0,0,167959.2277,44350.60223,1917613.77,0,0,119145.4686,0,119145.4686,82026.81436,4247.275944,5359.022054,709.2057294,18265.53379,6799.208494,15688.18854,131195.0914,10981.73198,26981.41502,9062.900671,611178.9018,1784809.096,13003.34344,0,0,0,0,9355.436573,11679.67013,9062.900671,262553.041,23109.7476,0,13341.10171,0,3005.582528,14.94113194,0,9349.167791,2981.043003,1285.270866,84648.3772,15612.87457,58491.23246,13341.10171,13341.10171,0,17114.68113,0,13724.41759,26845.42903,1251.873595,350.4898057,0,0,32016.09808,14152.24018,0,144342.7448,100043.4662,0,0,0,100043.4662,11539813.11