Region,Subregion,nuts_level,TIFF_per_ha,area_ha,dominant_product,year,TIFF_document_title,TIFF_source,area_source,notes
Scotland,North Eastern Scotland,2,281,"536,000.00",Cattle,2018,"Total Income from Farming Estimates for Scotland, 2016-18",https://www.gov.scot/publications/total-income-farming-estimates-scotland-2016-18/documents/,NA,NA
Scotland,Highlands and Islands,2,12,"2,756,000.00",Cattle,2018,"Total Income from Farming Estimates for Scotland, 2016-19",https://www.gov.scot/publications/total-income-farming-estimates-scotland-2016-18/documents/,NA,NA
Scotland,Eastern Scotland,2,249,"1,042,000.00",Horticulture,2018,"Total Income from Farming Estimates for Scotland, 2016-20",https://www.gov.scot/publications/total-income-farming-estimates-scotland-2016-18/documents/,NA,NA
Scotland,West Central Scotland,2,33,"107,000.00",Cattle,2018,"Total Income from Farming Estimates for Scotland, 2016-21",https://www.gov.scot/publications/total-income-farming-estimates-scotland-2016-18/documents/,NA,NA
Scotland,Southern Scotland,2,194,"1,163,000.00",Cattle,2018,"Total Income from Farming Estimates for Scotland, 2016-22",https://www.gov.scot/publications/total-income-farming-estimates-scotland-2016-18/documents/,NA,NA
Northern Ireland,Northern Ireland,2,326,"1,035,642.00",Cattle,2019,Total Income from Farming Estimates: 2018-2020,https://www.gov.scot/publications/total-income-farming-estimates-2018-2020/documents/,https://www.daera-ni.gov.uk/sites/default/files/publications/daera/Agricultural%20Census%202021%20Publication_0.pdf,NA
Wales,East Wales,2,134,"928,700.00",Cattle and sheep (LFA),2019,Total Income from Farming Estimates: 2018-2020,https://www.gov.scot/publications/total-income-farming-estimates-2018-2020/documents/,https://gov.wales/sites/default/files/publications/2021-03/agriculture-in-wales-evidence.pdf,area for easst vs west could not be found so total is divided equally
Wales,West Wales,2,134,"928,700.00",Cattle and sheep (LFA),2019,Total Income from Farming Estimates: 2018-2020,https://www.gov.scot/publications/total-income-farming-estimates-2018-2020/documents/,https://gov.wales/sites/default/files/publications/2021-03/agriculture-in-wales-evidence.pdf,area for easst vs west could not be found so total is divided equally
England,Tees Valley and Durham,2,253,"197,954.00",Pigs & Poultry,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Northumberland and Tyne and Wear,2,218,"405,386.00",Combinables & Sugar Beet,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Cumbria,2,189,"508,004.00",Dairy,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Greater Manchester,2,408,"33,110.00","Veg, Hort & Potatoes",2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Lancashire,2,326,"220,491.00","Veg, Hort & Potatoes",2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Cheshire,2,176,"158,841.00",Dairy,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Merseyside,2,478,"19,113.00","Veg, Hort & Potatoes",2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,East Yorkshire and Northern Lincolnshire,2,555,"274,156.00",Pigs & Poultry,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,North Yorkshire,2,235,"665,750.00",Combinables & Sugar Beet,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,South Yorkshire,2,228,"82,199.00",Beef & Sheep,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,West Yorkshire,2,428,"92,830.00",Pigs & Poultry,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Derbyshire and Nottinghamshire,2,345,"325,125.00",Pigs & Poultry,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,"Leicestershire, Rutland and Northamptonshire",2,274,"371,227.00",Combinables & Sugar Beet,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Lincolnshire,2,709,"507,058.00","Veg, Hort & Potatoes",2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,"Herefordshire, Worcestershire and Warwickshire",2,577,"444,662.00","Veg, Hort & Potatoes",2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Shropshire and Staffordshire,2,844,"473,462.00",Pigs & Poultry,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,West Midlands,2,253,"14,259.00",Combinables & Sugar Beet,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,East Anglia,2,528,"975,617.00",Pigs & Poultry,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Bedfordshire and Hertfordshire,2,288,"173,262.00",Combinables & Sugar Beet,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Essex,2,283,"248,666.00",Combinables & Sugar Beet,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Inner London - West,2,442,"10,935.00","Veg, Hort & Potatoes",2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,"Berkshire, Buckinghamshire and Oxfordshire",2,270,"384,484.00",Combinables & Sugar Beet,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,"Surrey, East and West Sussex",2,419,"278,495.00","Veg, Hort & Potatoes",2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Hampshire and Isle of Wight,2,363,"235,173.00",Pigs & Poultry,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Kent,2,923,"229,583.00","Veg, Hort & Potatoes",2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,"Gloucestershire, Wiltshire and Bath/Bristol area",2,251,"542,332.00",Combinables & Sugar Beet,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Dorset and Somerset,2,260,"471,513.00",Dairy,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Cornwall and Isles of Scilly,2,1068,"263,253.00","Veg, Hort & Potatoes",2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Devon,2,243,"513,683.00",Dairy,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA