NUTS 2 Region,Dominant Product,Subregion 1,Subregion 2,Subregion 3,Subregion 4,Subregion 5,Subregion 6,NUTS 2 TIFF,Subregion 1,Subregion 2,Subregion 3,Subregion 4,Subregion 5,Subregion 6,NUTS 2 Area
Tees Valley and Durham,Pigs & Poultry,236.7803166,117.1087442,462.8313977,195.6122103,NA,NA,253.0831672,13027.30119,12743.45545,14267.73962,157915.5732,NA,NA,197954.0695
Northumberland and Tyne and Wear,Combinables & Sugar Beet,211.5617275,224.2748922,NA,NA,NA,NA,217.9183098,392201.8744,13184.57659,NA,NA,NA,NA,405386.451
Cumbria,Dairy,187.3659988,189.8886197,NA,NA,NA,NA,188.6273093,158862.2673,349142.0319,NA,NA,NA,NA,508004.2991
Greater Manchester,"Veg, Hort & Potatoes",436.3898994,379.9556971,NA,NA,NA,NA,408.1727982,18742.11225,14367.65391,NA,NA,NA,NA,33109.76616
Lancashire,"Veg, Hort & Potatoes",214.5732267,261.5851667,115.1973946,712.1372428,NA,NA,325.8732577,39615.43544,75966.07177,67196.11648,37713.86084,NA,NA,220491.4845
Cheshire,Dairy,164.6607661,187.8731202,NA,NA,NA,NA,176.2669432,71686.25756,87154.54571,NA,NA,NA,NA,158840.8033
Merseyside,"Veg, Hort & Potatoes",477.7021807,NA,NA,NA,NA,NA,477.7021807,19112.86043,NA,NA,NA,NA,NA,19112.86043
East Yorkshire and Northern Lincolnshire,Pigs & Poultry,363.9834607,746.5317292,NA,NA,NA,NA,555.2575949,201494.9835,72661.4198,NA,NA,NA,NA,274156.4033
North Yorkshire,Combinables & Sugar Beet,243.5042949,226.2554242,NA,NA,NA,NA,234.8798596,17067.78663,648682.5943,NA,NA,NA,NA,665750.381
South Yorkshire,Beef & Sheep,186.503302,268.9229699,NA,NA,NA,NA,227.7131359,71636.62449,10562.13947,NA,NA,NA,NA,82198.76396
West Yorkshire,Pigs & Poultry,141.4907423,331.535165,203.2983684,1033.97175,NA,NA,427.5740064,16873.48877,23285.6255,37335.12505,15335.74143,NA,NA,92829.98075
Derbyshire and Nottinghamshire,Pigs & Poultry,230.0041734,262.9941189,357.2701498,530.0327648,NA,NA,345.0753017,150996.6017,31707.52229,41106.65234,101314.5933,NA,NA,325125.3696
"Leicestershire, Rutland and Northamptonshire",Combinables & Sugar Beet,297.5198049,238.4259143,284.9459536,,NA,NA,273.6305576,188582.264,110785.59,71858.83627,NA,NA,NA,371226.6903
Lincolnshire,"Veg, Hort & Potatoes",708.9867677,NA,NA,NA,NA,NA,708.9867677,507058.4592,NA,NA,NA,NA,NA,507058.4592
"Herefordshire, Worcestershire and Warwickshire","Veg, Hort & Potatoes",1001.823199,432.6652844,298.0021028,NA,NA,NA,577.496862,176862.081,118633.9073,149165.7264,NA,NA,NA,444661.7147
Shropshire and Staffordshire,Pigs & Poultry,1936.915787,384.6093736,211.1569448,NA,NA,NA,844.2273686,18842.89626,264324.7523,190293.954,NA,NA,NA,473461.6026
West Midlands (county),Combinables & Sugar Beet,252.7159988,NA,NA,NA,NA,NA,252.7159988,14258.50909,NA,NA,NA,NA,NA,14258.50909
East Anglia,Pigs & Poultry,260.6177152,380.414838,611.7603419,608.1884931,603.4031894,706.5635189,528.4913494,23770.49451,244263.9361,292364.0389,50652.60269,189790.9989,174774.8929,975616.9639
Bedfordshire and Hertfordshire,Combinables & Sugar Beet,316.8731216,266.2248337,282.0010094,NA,NA,NA,288.3663216,40430.2081,96475.01754,36356.37921,NA,NA,NA,173261.6048
Essex,Combinables & Sugar Beet,193.748245,361.687128,203.7366791,373.7254516,NA,NA,283.2243759,21575.67773,94784.61266,75463.31682,56842.78414,NA,NA,248666.3913
Inner London – West,"Veg, Hort & Potatoes",442.1405473,NA,NA,NA,NA,NA,442.1405473,10934.74051,NA,NA,NA,NA,NA,10934.74051
"Berkshire, Buckinghamshire and Oxfordshire",Combinables & Sugar Beet,337.1789104,198.6379627,287.1118556,256.313602,NA,NA,269.8105827,68382.96522,18648.26237,106327.0374,191125.9895,NA,NA,384484.2545
"Surrey, East and West Sussex","Veg, Hort & Potatoes",348.0900495,712.3719552,274.5171829,363.0936169,398.339555,,419.2824719,111636.7323,27682.46212,27626.45264,63744.31152,47804.7108,NA,278494.6694
Hampshire and Isle of Wight,Pigs & Poultry,345.9797546,232.9320745,509.1177954,NA,NA,NA,362.6765415,157118.192,24142.8329,53912.42151,NA,NA,NA,235173.4465
Kent,"Veg, Hort & Potatoes",1324.119734,624.4392104,804.0011695,939.9781761,NA,NA,923.1345724,38324.06005,74594.6713,68997.92344,47665.97943,NA,NA,229582.6342
"Gloucestershire, Wiltshire and Bristol/Bath area",Combinables & Sugar Beet,272.6792835,349.9534129,159.2423503,220.7568273,NA,NA,250.6579685,73829.55945,193304.4616,14217.63964,260980.3717,NA,NA,542332.0324
Dorset and Somerset,Dairy,176.6787767,343.7511195,NA,NA,NA,NA,260.2149481,202910.3416,268602.4169,NA,NA,NA,NA,471512.7585
Cornwall and Isles of Scilly,"Veg, Hort & Potatoes",1068.199117,NA,NA,NA,NA,NA,1068.199117,263252.884,NA,NA,NA,NA,NA,263252.884
Devon,Dairy,242.9041902,NA,NA,NA,NA,NA,242.9041902,513683.1908,NA,NA,NA,NA,NA,513683.1908