Region,NUTS Level 2 Subregion,TIFF (£/ha),Area (ha),Year,Source,TIFF_document_title,TIFF_source,area_source,notes
England,Tees Valley and Durham,253,"197,954.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Northumberland and Tyne and Wear,218,"405,386.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Cumbria,189,"508,004.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Greater Manchester,408,"33,110.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Lancashire,326,"220,491.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Cheshire,176,"158,841.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Merseyside,478,"19,113.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,East Yorkshire and Northern Lincolnshire,555,"274,156.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,North Yorkshire,235,"665,750.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,South Yorkshire,228,"82,199.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,West Yorkshire,428,"92,830.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Derbyshire and Nottinghamshire,345,"325,125.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,"Leicestershire, Rutland and Northamptonshire",274,"371,227.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Lincolnshire,709,"507,058.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,"Herefordshire, Worcestershire and Warwickshire",577,"444,662.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Shropshire and Staffordshire,844,"473,462.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,West Midlands,253,"14,259.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,East Anglia,528,"975,617.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Bedfordshire and Hertfordshire,288,"173,262.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Essex,283,"248,666.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Inner London - West,442,"10,935.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,"Berkshire, Buckinghamshire and Oxfordshire",270,"384,484.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,"Surrey, East and West Sussex",419,"278,495.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Hampshire and Isle of Wight,363,"235,173.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Kent,923,"229,583.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,"Gloucestershire, Wiltshire and Bath/Bristol area",251,"542,332.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Dorset and Somerset,260,"471,513.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Cornwall and Isles of Scilly,1068,"263,253.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Devon,243,"513,683.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
Scotland,North Eastern Scotland,281,"536,000.00",2018,b,"Total Income from Farming Estimates for Scotland, 2016-18",https://www.gov.scot/publications/total-income-farming-estimates-scotland-2016-18/documents/,NA,NA
Scotland,Highlands and Islands,12,"2,756,000.00",2018,b,"Total Income from Farming Estimates for Scotland, 2016-19",https://www.gov.scot/publications/total-income-farming-estimates-scotland-2016-18/documents/,NA,NA
Scotland,Eastern Scotland,249,"1,042,000.00",2018,b,"Total Income from Farming Estimates for Scotland, 2016-20",https://www.gov.scot/publications/total-income-farming-estimates-scotland-2016-18/documents/,NA,NA
Scotland,West Central Scotland,33,"107,000.00",2018,b,"Total Income from Farming Estimates for Scotland, 2016-21",https://www.gov.scot/publications/total-income-farming-estimates-scotland-2016-18/documents/,NA,NA
Scotland,Southern Scotland,194,"1,163,000.00",2018,b,"Total Income from Farming Estimates for Scotland, 2016-22",https://www.gov.scot/publications/total-income-farming-estimates-scotland-2016-18/documents/,NA,NA
Wales,East Wales,134,"928,700.00",2019,"c, d",Total Income from Farming Estimates: 2018-2020,https://www.gov.scot/publications/total-income-farming-estimates-2018-2020/documents/,https://gov.wales/sites/default/files/publications/2021-03/agriculture-in-wales-evidence.pdf,area for easst vs west could not be found so total is divided equally
Wales,West Wales,134,"928,700.00",2019,"c, d",Total Income from Farming Estimates: 2018-2020,https://www.gov.scot/publications/total-income-farming-estimates-2018-2020/documents/,https://gov.wales/sites/default/files/publications/2021-03/agriculture-in-wales-evidence.pdf,area for easst vs west could not be found so total is divided equally
N Ireland,Northern Ireland,326,"1,035,642.00",2019,"c, e",Total Income from Farming Estimates: 2018-2020,https://www.gov.scot/publications/total-income-farming-estimates-2018-2020/documents/,https://www.daera-ni.gov.uk/sites/default/files/publications/daera/Agricultural%20Census%202021%20Publication_0.pdf,NA