project,grid_ref,lat,long
Crossrigg,NS837686,283700,668600
Drumbow,NS835693,283500,669300
Loch Katrine,NN460109,246000,710900
Darroch Wids: Blackmiddens,NJ425260,342500,826000
Darroch Wids: Merdrum,NJ464294,346400,829400
Darroch Wids: Coynachie,NJ496341,349600,834100
Kinloch Hills,NG750209,175000,820900
Glenmore Forest Park,NH970073,297000,807300
Abernethy,NJ022096,302200,809600
Barclye,NX395695,239500,569500
Corrimony,NH347275,234700,827500
Inversnaid,NN345115,234500,711500
Glen Sherup,NN940026,294000,702600
Glen Quey,NN966025,296600,702500
Geordies Wood,NN998021,299800,702100
Glen Fin,NN516125,251600,712500